1@@2021-09-08T00:01:46.710+0000 INFO new transaction@@list index out of range
2@@2021-09-08T00:01:51.167+0000 INFO new transaction@@list index out of range
3@@2021-09-08T00:02:03.258+0000 INFO new transaction@@list index out of range
4@@2021-09-08T00:06:46.716+0000 INFO new transaction@@list index out of range
5@@2021-09-08T00:06:51.173+0000 INFO new transaction@@list index out of range
6@@2021-09-08T00:07:03.259+0000 INFO new transaction@@list index out of range
7@@2021-09-08T00:11:46.731+0000 INFO new transaction@@list index out of range
8@@2021-09-08T00:11:51.186+0000 INFO new transaction@@list index out of range
9@@2021-09-08T00:12:03.257+0000 INFO new transaction@@list index out of range
10@@2021-09-08T00:16:46.730+0000 INFO new transaction@@list index out of range
11@@2021-09-08T00:16:51.217+0000 INFO new transaction@@list index out of range
12@@2021-09-08T00:17:03.259+0000 INFO new transaction@@list index out of range
13@@2021-09-08T00:21:36.710+0000 INFO refreshToken@@list index out of range
14@@2021-09-08T00:21:37.226+0000 INFO Response code 200@@list index out of range
15@@2021-09-08T00:21:37.226+0000 INFO Response finao {"access_token":"a162d8ad-9abe-3999-a0c2-0253add591f6","refresh_token":"dfa7d507-fd2b-39c8-8113-86b8740260c3","scope":"default","token_type":"Bearer","expires_in":3600}@@list index out of range
16@@2021-09-08T00:21:37.226+0000 INFO FinaoResponse{errorCode=00000, userMessage=null, debugMessage=null, moreInfo=null, accessToken=a162d8ad-9abe-3999-a0c2-0253add591f6, refreshToken=dfa7d507-fd2b-39c8-8113-86b8740260c3, tokenType=Bearer, expiresIn=3600, scope=default, description=null, transactionNumber=null, transactionAmount=null, customerBalance=null, transactionType=null}@@list index out of range
17@@2021-09-08T00:21:46.730+0000 INFO new transaction@@list index out of range
18@@2021-09-08T00:21:51.232+0000 INFO new transaction@@list index out of range
19@@2021-09-08T00:22:03.257+0000 INFO new transaction@@list index out of range
20@@2021-09-08T00:26:46.726+0000 INFO new transaction@@list index out of range
21@@2021-09-08T00:26:51.260+0000 INFO new transaction@@list index out of range
22@@2021-09-08T00:27:03.258+0000 INFO new transaction@@list index out of range
23@@2021-09-08T00:31:46.729+0000 INFO new transaction@@list index out of range
24@@2021-09-08T00:31:51.278+0000 INFO new transaction@@list index out of range
25@@2021-09-08T00:32:03.250+0000 INFO new transaction@@list index out of range
26@@2021-09-08T00:36:46.721+0000 INFO new transaction@@list index out of range
27@@2021-09-08T00:36:51.304+0000 INFO new transaction@@list index out of range
28@@2021-09-08T00:37:03.270+0000 INFO new transaction@@list index out of range
29@@2021-09-08T00:41:46.729+0000 INFO new transaction@@list index out of range
30@@2021-09-08T00:41:51.312+0000 INFO new transaction@@list index out of range
31@@2021-09-08T00:42:03.280+0000 INFO new transaction@@list index out of range
32@@2021-09-08T00:46:46.727+0000 INFO new transaction@@list index out of range
33@@2021-09-08T00:46:51.338+0000 INFO new transaction@@list index out of range
34@@2021-09-08T00:47:03.288+0000 INFO new transaction@@list index out of range
35@@2021-09-08T00:51:46.738+0000 INFO new transaction@@list index out of range
36@@2021-09-08T00:51:51.356+0000 INFO new transaction@@list index out of range
37@@2021-09-08T00:52:03.301+0000 INFO new transaction@@list index out of range
38@@2021-09-08T00:56:46.735+0000 INFO new transaction@@list index out of range
39@@2021-09-08T00:56:51.376+0000 INFO new transaction@@list index out of range
40@@2021-09-08T00:57:03.299+0000 INFO new transaction@@list index out of range
41@@2021-09-08T01:01:46.757+0000 INFO new transaction@@list index out of range
42@@2021-09-08T01:01:51.385+0000 INFO new transaction@@list index out of range
43@@2021-09-08T01:02:03.306+0000 INFO new transaction@@list index out of range
44@@2021-09-08T01:06:46.762+0000 INFO new transaction@@list index out of range
45@@2021-09-08T01:06:51.387+0000 INFO new transaction@@list index out of range
46@@2021-09-08T01:07:03.311+0000 INFO new transaction@@list index out of range
47@@2021-09-08T01:11:37.254+0000 INFO refreshToken@@list index out of range
48@@2021-09-08T01:11:37.739+0000 INFO Response code 200@@list index out of range
